artist_name,track_name,,,,,,,,,,,,,,,
T-Pain,A Million Times (feat. O.T. Genasis),,,,,,,,,,,,,,,
Tory Lanez,KeeP IN tOUcH (feat. Bryson Tiller),,,,,,,,,,,,,,,
The Weeknd,Attention,,,,,,,,,,,,,,,
H.E.R.,2,,,,,,,,,,,,,,,
T-Pain,RIP to the Parking Lot (feat. Boosie Badazz),,,,,,,,,,,,,,,
City Girls,Season (feat. Lil Baby),,,,,,,,,,,,,,,
Brent Faiyaz,Lovely,,,,,,,,,,,,,,,
Jacquees,Inside feat. Trey Songz,,,,,,,,,,,,,,,
JP Saxe,The Few Things (with Charlotte Lawrence),,,,,,,,,,,,,,,
Chingy,Right Thurr,,,,,,,,,,,,,,,
H.E.R.,I'm Not OK,,,,,,,,,,,,,,,
Wale,Lotus Flower Bomb (feat. Miguel),,,,,,,,,,,,,,,
Kiana Ledé,Wicked Games,,,,,,,,,,,,,,,
Iggy Azalea,Black Widow,,,,,,,,,,,,,,,
Kelly Clarkson,Love So Soft,,,,,,,,,,,,,,,
PARTYNEXTDOOR,Not Nice,,,,,,,,,,,,,,,
Tory Lanez,Pa Mi (with Ozuna),,,,,,,,,,,,,,,
The Weeknd,A Lonely Night,,,,,,,,,,,,,,,
Nina Sky,Move Ya Body,,,,,,,,,,,,,,,
Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),,,,,,,,,,,,,,,
Rihanna,SOS,,,,,,,,,,,,,,,
Jason Derulo,Ridin' Solo,,,,,,,,,,,,,,,
DJ Khaled,All I Do Is Win,,,,,,,,,,,,,,,
Demi Lovato,You Don't Do It For Me Anymore,,,,,,,,,,,,,,,
Nao,If You Ever (feat. 6LACK),,,,,,,,,,,,,,,
Adrian Marcel,2AM.,,,,,,,,,,,,,,,
Mario,How Do I Breathe,,,,,,,,,,,,,,,
Jagged Edge,Where the Party At,,,,,,,,,,,,,,,
T-Pain,1UP (feat. Profit Dinero),,,,,,,,,,,,,,,
Ari Lennox,40 Shades of Choke,,,,,,,,,,,,,,,
Big Sean,Go Legend (& Metro Boomin),,,,,,,,,,,,,,,
bLAck pARty,Bloom,,,,,,,,,,,,,,,
Olivia O'Brien,Love Myself - Acoustic,,,,,,,,,,,,,,,
GoldLink,Got Friends,,,,,,,,,,,,,,,
Raveena,If Only,,,,,,,,,,,,,,,
Trevor Daniel,Falling (blackbear Remix),,,,,,,,,,,,,,,
T-Pain,Be Your X,,,,,,,,,,,,,,,
Tinashe,Like I Used To,,,,,,,,,,,,,,,
Peter CottonTale,Forever Always,,,,,,,,,,,,,,,
DaniLeigh,Lil Bebe,,,,,,,,,,,,,,,
Ty Dolla $ign,Paranoid (feat. B.o.B),,,,,,,,,,,,,,,
James Blake,Are You In Love?,,,,,,,,,,,,,,,
Dreezy,Ecstasy (feat. Jeremih),,,,,,,,,,,,,,,
Snoh Aalegra,I Want You Around,,,,,,,,,,,,,,,
Zara Larsson,Ain't My Fault,,,,,,,,,,,,,,,
Beyoncé,Countdown,,,,,,,,,,,,,,,
Jarreau Vandal,Someone That You Love,,,,,,,,,,,,,,,
Alina Baraz,Unfold,,,,,,,,,,,,,,,
The Carters,NICE,,,,,,,,,,,,,,,
Trey Songz,Neighbors Know My Name,,,,,,,,,,,,,,,
T-Pain,U Up,,,,,,,,,,,,,,,
BJ The Chicago Kid,Roses,,,,,,,,,,,,,,,
SZA,Prom,,,,,,,,,,,,,,,
James Blake,Power On,,,,,,,,,,,,,,,
Sabrina Claudio,Orion's Belt,,,,,,,,,,,,,,,
H.E.R.,Say It Again,,,,,,,,,,,,,,,
T-Pain,All I Want (feat. Flipp Dinero),,,,,,,,,,,,,,,
Daniel Caesar,Violet,,,,,,,,,,,,,,,
The Weeknd,Nothing Without You,,,,,,,,,,,,,,,
Sevyn Streeter,"Anything U Want (feat. Wiz Khalifa, Jeremih & Ty Dolla $ign)",,,,,,,,,,,,,,,
Orion Sun,Antidote,,,,,,,,,,,,,,,
John Legend,Love Me Now,,,,,,,,,,,,,,,
Beyoncé,Dance for You,,,,,,,,,,,,,,,
Demi Lovato,Give Your Heart a Break,,,,,,,,,,,,,,,
Labrinth,Beneath Your Beautiful,,,,,,,,,,,,,,,
Yo Trane,High off You,,,,,,,,,,,,,,,
Twista,Overnight Celebrity,,,,,,,,,,,,,,,
Fifth Harmony,That's My Girl,,,,,,,,,,,,,,,
Ravyn Lenae,Sticky,,,,,,,,,,,,,,,
Mario,Just a Friend 2002 - Radio Edit,,,,,,,,,,,,,,,
Monica,So Gone,,,,,,,,,,,,,,,
Ne-Yo,Sexy Love,,,,,,,,,,,,,,,
Mariah Carey,Caution,,,,,,,,,,,,,,,
Mario,Drowning,,,,,,,,,,,,,,,
August Alsina,Kissin' On My Tattoos,,,,,,,,,,,,,,,
T-Pain,It's My Dog Birthday,,,,,,,,,,,,,,,
Doja Cat,Go To Town,,,,,,,,,,,,,,,
Arin Ray,Reckless,,,,,,,,,,,,,,,
Usher,Confessions Part II - Confessions Special Edition Version,,,,,,,,,,,,,,,
HONNE,Day 1 ?,,,,,,,,,,,,,,,
Madison Beer,Fools,,,,,,,,,,,,,,,
Bryson Tiller,Overtime,,,,,,,,,,,,,,,
Ellie Goulding,On My Mind,,,,,,,,,,,,,,,
Summer Walker,Wasted,,,,,,,,,,,,,,,
Ama Lou,Tried Up,,,,,,,,,,,,,,,
Charli XCX,Boys,,,,,,,,,,,,,,,
Ella Mai,Own It,,,,,,,,,,,,,,,
Annmarie,Handle It,,,,,,,,,,,,,,,
Jason Derulo,It Girl,,,,,,,,,,,,,,,
James Blake,Assume Form,,,,,,,,,,,,,,,
T-Pain,Keep This from Me,,,,,,,,,,,,,,,
Chris Brown,Grass Ain't Greener,,,,,,,,,,,,,,,
Ty Dolla $ign,Ex (feat. YG),,,,,,,,,,,,,,,
Jorja Smith,Teenage Fantasy,,,,,,,,,,,,,,,
The Weeknd,All I Know,,,,,,,,,,,,,,,
Tobi Lou,Buff Baby,,,,,,,,,,,,,,,
Frank Ocean,Bad Religion,,,,,,,,,,,,,,,
Chris Brown,Back To Sleep,,,,,,,,,,,,,,,
Les Hérissons,Le fiacre,,,,,,,,,,,,,,,
Céline Languedoc,Avan i two ta,,,,,,,,,,,,,,,
Henri Salvador,Le Marchand de sable,,,,,,,,,,,,,,,
Henri Salvador,L'Ombrelle et le parapluie,,,,,,,,,,,,,,,
Leopold Stokowski,"Symphony No. 6 in B minor, Op. 74 'Pathétique': I Adagio - Allegro non troppo",,,,,,,,,,,,,,,
Henri Salvador,Syracuse - Remastered,,,,,,,,,,,,,,,
Chorus,Shri Ganesh Beej Mantra,,,,,,,,,,,,,,,
Henri Salvador,Dans Mon Île,,,,,,,,,,,,,,,
Henri Salvador,Cheveux dans le vent,,,,,,,,,,,,,,,
Martin & les fées,"Premier voyage (par Véronique Jannot, Paul Ventimila & Lorie Pester)",,,,,,,,,,,,,,,
Chorus,Om Namah Shivaye Chant,,,,,,,,,,,,,,,
Karine Costa,Good Bye My Friends,,,,,,,,,,,,,,,
Randy Newman,Parenthood (Karen & Gil / Montage),,,,,,,,,,,,,,,
Henri Salvador,"J'aime tes g'noux - Shame, Shame, Shame",,,,,,,,,,,,,,,
Jean Piat,Tout allait bien jusque-là dans cet immense couvent,,,,,,,,,,,,,,,
Leopold Stokowski,Symphony No.1 In C Major : I. Allegro Vivo,,,,,,,,,,,,,,,
Henri Salvador,Bon à rien,,,,,,,,,,,,,,,
Idoles De La Musique,Parce qu'on sait jamais,,,,,,,,,,,,,,,
Chorus,Odhi is ieron lohon (Ode to Sacred Battalion),,,,,,,,,,,,,,,
Chorus,Le sourire d'Anaëlle,,,,,,,,,,,,,,,
Henri Salvador,Qh'ech que ch'est qu'cha?,,,,,,,,,,,,,,,
Randy Newman,Eliza,,,,,,,,,,,,,,,
Henri Salvador,Ciel de Paris,,,,,,,,,,,,,,,
Chorus,Yia se ghlikia patridha (For You Sweet Motherland),,,,,,,,,,,,,,,
Claire Guyot,Indiciblement,,,,,,,,,,,,,,,
Jean Claude Corbel,Les pachydermes,,,,,,,,,,,,,,,
Henri Salvador,Le Cid - Remastered,,,,,,,,,,,,,,,
Henri Salvador,"Le conteur, Pt. 2",,,,,,,,,,,,,,,
Chorus,Sundar Bate Tabe,,,,,,,,,,,,,,,
Jean Claude Corbel,Les charognards,,,,,,,,,,,,,,,
Bernard Minet,Dragon Ball et Dragon Ball Z,,,,,,,,,,,,,,,
Jodi Benson,God Sees Inside Me,,,,,,,,,,,,,,,
Henri Salvador,Re-bonjour,,,,,,,,,,,,,,,
Generation B.O.,"Don't Cry For Me Argentina (B.O. ""Evita"")",,,,,,,,,,,,,,,
Céline Languedoc,Soley an mwen,,,,,,,,,,,,,,,
Chorus,I 25 martiou (The 25th of March),,,,,,,,,,,,,,,
Henri Salvador,Le Carosse Blanc - Remastered,,,,,,,,,,,,,,,
Lucie Dolene,"L’amour s’en vient, l’amour s’en va (From ""L'heure éblouissante"")",,,,,,,,,,,,,,,
Leopold Stokowski,Symphony No.4 In E Minor Op.98 : II. Andante,,,,,,,,,,,,,,,
Dominique Tirmont,Maman si douce,,,,,,,,,,,,,,,
Randy Newman,Henry Goes To Work,,,,,,,,,,,,,,,
Les Hérissons,Frou Frou,,,,,,,,,,,,,,,
Chorus,Hindolam,,,,,,,,,,,,,,,
Leopold Stokowski,L'ascension : III. Alleluias On The Trumpet And On The Cymbal,,,,,,,,,,,,,,,
Henri Salvador,Le Pingouin - Remastered,,,,,,,,,,,,,,,
Henri Salvador,Le clochard,,,,,,,,,,,,,,,
Chorus,Mann Biachen,,,,,,,,,,,,,,,
Jean Claude Corbel,Aladin 4,,,,,,,,,,,,,,,
Anthony Kavanagh,J'Ai Vu Partir,,,,,,,,,,,,,,,
Jean Claude Corbel,Le bord de mer,,,,,,,,,,,,,,,
Bernard Minet,Dis moi monsieur Bernard Minet,,,,,,,,,,,,,,,
Le Club des Juniors,But pour Rudy,,,,,,,,,,,,,,,
Chorus,Gia Ke Hara Sou Geronta,,,,,,,,,,,,,,,
Jean Piat,Ce fut en vain qu'Hélène de retour dans Albano,,,,,,,,,,,,,,,
Bernard Minet,Les filles sont si jolies,,,,,,,,,,,,,,,
Chorus,To parelthon ke to mellon (The Past and the Future),,,,,,,,,,,,,,,
Leopold Stokowski,Rimsky-Korsakov: Flight of the Bumblebee - Leopold Stokowksi Transcriptions,,,,,,,,,,,,,,,
Marie-Thérèse Orain,Intacte,,,,,,,,,,,,,,,
Dominique Tirmont,Mon beau sapin,,,,,,,,,,,,,,,
Randy Newman,"Family Album: Homage to Alfred, Emil and Lionel Newman: I. The Follies: Young and Beautiful",,,,,,,,,,,,,,,
Chorus,Tylko ty,,,,,,,,,,,,,,,
Henri Salvador,Ma chère et tendre - live,,,,,,,,,,,,,,,
Frank Churchill,Snow White and the Seven Dwarfs: Dwarf's Yodel Song (arr. H. Frommermann),,,,,,,,,,,,,,,
Leopold Stokowski,Tristan und Isolde (Love Music from Acts II & III),,,,,,,,,,,,,,,
Anthony Kavanagh,Ton Homme,,,,,,,,,,,,,,,
Henri Salvador,Bon À Rien,,,,,,,,,,,,,,,
Bernard Minet,"Toi, l'avenir du monde",,,,,,,,,,,,,,,
Dominique Tirmont,"Aquelos mountagnos ""Se Canto""",,,,,,,,,,,,,,,
Anthony Kavanagh,Jamais,,,,,,,,,,,,,,,
Chorus,Sukhkarta Dukhharta - Aarti,,,,,,,,,,,,,,,
Jean Piat,Le lendemain qui était un dimanche,,,,,,,,,,,,,,,
Henri Salvador,Toi - live,,,,,,,,,,,,,,,
Henri Salvador,Adieu Foulards Adieu Madras,,,,,,,,,,,,,,,
Idoles De La Musique,Parler d'amour,,,,,,,,,,,,,,,
Leopold Stokowski,Symphony No.4 In E Minor Op.98 : III. Allegro Giocoso Poco Meno Presto,,,,,,,,,,,,,,,
Marie-Thérèse Orain,J'ai douze ans,,,,,,,,,,,,,,,
Henri Salvador,J'aimerais tellement ca,,,,,,,,,,,,,,,
Chorus,Tripplestar Camp,,,,,,,,,,,,,,,
Henri Salvador,"Armstrong, Duke Ellington, Cab Calloway",,,,,,,,,,,,,,,
Michel Roux,Maître Pierre : Tableau II - Très illustres docteurs,,,,,,,,,,,,,,,
Chorus,Je n'ai pas de problème,,,,,,,,,,,,,,,
Henri Salvador,Les yeux des Muchachos,,,,,,,,,,,,,,,
Henri Salvador,Parce que ça me donne du courage,,,,,,,,,,,,,,,
Henri Salvador,Silence On Tourne,,,,,,,,,,,,,,,
Martin & les fées,Tout est possible (par Lisa Angell),,,,,,,,,,,,,,,
Frank Churchill,The Silly Song,,,,,,,,,,,,,,,
Henri Salvador,Adieu 'Adios' - Remastered,,,,,,,,,,,,,,,
Henri Salvador,toi,,,,,,,,,,,,,,,
Jean Claude Corbel,Peau D'âne 4,,,,,,,,,,,,,,,
Chorus,Parodos,,,,,,,,,,,,,,,
Michel Roux,L'aiguille creuse - Partie 1,,,,,,,,,,,,,,,
Chantal Goya,Ennio,,,,,,,,,,,,,,,
Chorus,Antara Mama,,,,,,,,,,,,,,,
Oliver Wallace,Alice in Wonderland: Theme,,,,,,,,,,,,,,,
Laura Mayne,Comme si,,,,,,,,,,,,,,,
Jean Claude Corbel,Vers un nouveau monde,,,,,,,,,,,,,,,
Le Club des Juniors,Lutinette et Lutinou,,,,,,,,,,,,,,,
Jean Davy,C'est ça l'amour,,,,,,,,,,,,,,,
Chorus,Om Kodilingeshwaraya Namaha,,,,,,,,,,,,,,,
Richard M. Sherman,Lost Chords Sentiments,,,,,,,,,,,,,,,
Marie-Thérèse Orain,Les hommes,,,,,,,,,,,,,,,
Claire Guyot,Lila danse,,,,,,,,,,,,,,,
Chorus,Bangaru Padagaye,,,,,,,,,,,,,,,
Jean Amadou,Une Petition,,,,,,,,,,,,,,,
Henri Salvador,Ela Diz que Tiem,,,,,,,,,,,,,,,
Richard M. Sherman,Caprice,,,,,,,,,,,,,,,
Karine Costa,Mes Nuits Blanches,,,,,,,,,,,,,,,
Henri Salvador,Surs De Nous - Remastered,,,,,,,,,,,,,,,
Jean Claude Corbel,Un coin de paradis,,,,,,,,,,,,,,,
Chorus,Oj Ty Babo,,,,,,,,,,,,,,,
Houcine,Siffler sur la colline,,,,,,,,,,,,,,,
Chorus,Azadi Ke Parbat Ki,,,,,,,,,,,,,,,
Henri Salvador,Ela Diz Que Tem,,,,,,,,,,,,,,,
Lucie Dolene,"Croquemitoufle (From ""Les femmes des autres"")",,,,,,,,,,,,,,,
